vanilla_culture,controlled_locations,m4_profile_candidates,regions,sample_locations
selkup_culture,5,antq_xiongnu:5,Steppe:5,bolotnye;kozhevnikovo;melnikovo;tomsk;verkhotomsk
semnani_culture,5,antq_parthian:5,Iran:5,eyvanekey;firuzkuh;khwar;lasjerd;semnan
subanon_culture,5,antq_mon:5,Southeast Asia:5,dapitan;panaon;samboangan;sindangan;siocon
taizhou_wu_culture,5,antq_han:5,China:5,huangyan;tiantai;wenling;xianju;xianzhu
tausug_culture,5,antq_mon:5,Southeast Asia:5,balabak;kalamansig;maimbung;sarangani;sibugay
tlaxcaltec_culture,5,antq_teotihuacano:5,Mesoamerica:5,ocotelolco;quauhquechollan;quiahuixtlan;tepeticpac;tizatlan
torajan_culture,5,antq_mon:5,Southeast Asia:5,kalumpang;kulawi;kurri_kurri;loree;toraja
toubou_culture,5,antq_berber:2|antq_mande:3,Africa:2|West Africa:3,al_jawf;djado;qatrun;seguedine;tazirbu
tripuri_culture,5,antq_indo_aryan:5,India:5,agartala;chandrapur;kailashahar;pilak;rangamati
tubai_culture,5,antq_han:5,China:5,guiping;guizhou_xunzhou;luoxiu;pingnan;watang
tuluva,5,antq_tamil:5,India:5,karkala;kasaragod;mangalore;udupi;uppinangady
wa_culture,5,antq_han:3|antq_mon:2,China:3|Southeast Asia:2,kengtung;matman;mengdong;mong_yang;pangyang
agaw_culture,4,antq_nubian:4,Africa:4,debarq;gonder;kosoge;waldeba
ainu_culture,4,antq_xiongnu:4,Steppe:4,boluohe;guohuo;kushunkotan;nayoro
avar_culture,4,antq_sarmatian:4,Pontic:4,kara_bazaar;khunzakh;terek;tindi
balanta,4,antq_mande:4,West Africa:4,bafata;farim;geregia;marsassoum
bobo,4,antq_mande:4,West Africa:4,faramana;niantjila;niena;sanzana
burusho,4,antq_saka:4,India:4,altit;misgar;nagar;passu
chimu_culture,4,antq_moche:4,Andes:4,chan_chan;chao;chimu;paramonga
chutia_culture,4,antq_indo_aryan:4,India:4,bengmara;dibrugarh;gomsi;sadiya
chuvash_culture,4,antq_venedi:4,Eastern Europe:4,cherdakly;melekess;staraya_mayna;stavropol_na_volge
dagbani,4,antq_mande:4,West Africa:4,banda_ahenkro;bole;nakpa;yendi
dhivehi_culture,4,antq_indo_aryan:4,India:4,addu_atoll;male_atoll;nilandhe_atoll;thiladhunmathi_atoll
dogon,4,antq_mande:4,West Africa:4,bore;douentza;kanibonzon;sanga
funing_culture,4,antq_han:4,China:4,changshi;fuan;ningde;zhenghe
gaozhou_culture,4,antq_han:4,China:4,dianbai;maoming;shicheng;xinyi_gaozhou
hani_culture,4,antq_han:4,China:4,ami;guangxi;mengding_mengzi;mile
iranun_culture,4,antq_mon:4,Southeast Asia:4,initao;kalalaw;malabang;tukuran
kaili_culture,4,antq_mon:4,Southeast Asia:4,donggala;managalang;parigi;sigi
kamarupi,4,antq_indo_aryan:4,India:4,jalpaiguri;kamatapur;panchagarh;rangpur_bengal
keres_culture,4,antq_teotihuacano:4,Mesoamerica:4,aaku;shiewhibak;teypana;tsiya
killke_culture,4,antq_moche:2|antq_nazca:2,Andes:4,auccapana;quillarumiyoc;willka_pampa;yanahuara
kumyk_culture,4,antq_sarmatian:4,Pontic:4,boynak;endirey;tarki;temirkhan_shura
lahu_culture,4,antq_han:4,China:4,kainan;nanan;yinshaluo;zheledian
laz_culture,4,antq_latin:4,Rome:4,akkus;gumushane;khupati;mesudiye
lezgin_culture,4,antq_sarmatian:4,Pontic:4,khuchni;kurakh;rutul;tpig
lisu_culture,4,antq_han:4,China:4,lujiang;luzhang;wadian;yongchang_yongchang
madurese_culture,4,antq_mon:4,Southeast Asia:4,bangkalan;bawean;kangean;sugeneb
mam_culture,4,antq_teotihuacano:4,Mesoamerica:4,chinabajul;otzoya;tzunun_kaab;xelahuh
mangyan_culture,4,antq_mon:4,Southeast Asia:4,basud;kalapang;mamburao;mangarin
matuumbi_culture,4,antq_nubian:4,Africa:4,kilwa_kisiwani;kisiju;mitimiri;songo_mnara
murut_culture,4,antq_mon:4,Southeast Asia:4,hulu_padas;pegalan;sebuku;tawau
ngaju_culture,4,antq_mon:4,Southeast Asia:4,kahayan;kedang_pahu;pinoh;sabangau
nuba,4,antq_nubian:4,Africa:4,barah;dilling;el_obeid;teqali
onondowaga_culture,4,antq_algonquian:4,North America:4,canadaigua;geneseo;irondequoit;tsonentsiio
oroch_culture,4,antq_xiongnu:4,Steppe:4,datta;tumzhdin;uschu;xungake
pashayi_culture,4,antq_bactrian:1|antq_saka:3,Central Asia:1|India:2|Iran:1,asadabad_kunar;basand;hajiabad;jalalabad
ponca_culture,4,antq_algonquian:4,North America:4,chepoussa;kaskaskia;ochechiton;st_francois_mts
qiwu_culture,4,antq_han:4,China:4,dexing;fuliang;qimen;wuyuan_huizhou
rma_culture,4,antq_han:4,China:4,jiangyou;pingwu;songzhou_songpan;wenshan
rutara_culture,4,antq_nubian:4,Africa:4,bigo_bya_mugenyi;kibengo;mubemde;rugombe
sherpa_culture,4,antq_indo_aryan:1|antq_sogdian:3,Central Asia:3|India:1,dingri;dolakha;gonga_chode;nyalam
sora_culture,4,antq_indo_aryan:4,India:4,bissam_cuttack;gunupur;kotagad;rayagada
sui_culture,4,antq_han:4,China:4,dushan;duyun;lantu;libo
tani_culture,4,antq_indo_aryan:4,India:4,itanagar;konwargaon;lakhimpur;malinithan
tanoan_culture,4,antq_teotihuacano:4,Mesoamerica:4,ialophaybo;ohkweeo_owingeh;than_u_ge;tuf_shur_tia
tolaki_culture,4,antq_mon:4,Southeast Asia:4,andolo;kendari;kolumba;unaaha
tsawi_culture,4,antq_algonquian:4,North America:4,nodaway;nudarcha;omaha;wimihsoorita
tuareg,4,antq_berber:2|antq_mande:2,Africa:2|West Africa:2,djanet;ghat;tadmekka;walata
tubalar_culture,4,antq_xiongnu:4,Steppe:4,kuchukskoye;oskemen;ust_kabyrza;volchikha
xinhui_culture,4,antq_han:4,China:4,enping;guanghai;xinhui;xinxing_nanen
yangjiang_culture,4,antq_han:4,China:4,duling;guliang;yangchun;yangjiang
yao_culture,4,antq_nubian:4,Africa:4,lindi;mikindani;tungi;vamizi
__no_installed_template__,3,antq_algonquian:1|antq_judean:1|antq_xiongnu:1,Levant:1|North America:1|Steppe:1,antilebanon_mountains1;dalai_nur_lake;monterey_coast
alan_culture,3,antq_sarmatian:3,Pontic:3,arkhyz;koban;tatartup
baganda_culture,3,antq_nubian:3,Africa:3,buddu;buganda;rubaga
balinese_culture,3,antq_mon:3,Southeast Asia:3,julah;melara;samprangan
balkar_culture,3,antq_sarmatian:3,Pontic:3,chegem;dzhulat;karcha_kala
blaan_culture,3,antq_mon:3,Southeast Asia:3,buluan;kabacan;minduso
cappadocian_greek_culture,3,antq_greek_koine:1|antq_latin:2,Anatolia:1|Rome:2,aksaray;bekarlar;eregli_kar
caxcan_culture,3,antq_teotihuacano:3,Mesoamerica:3,nochistlan;teulinchan;xochipillan
cebuano_culture,3,antq_mon:3,Southeast Asia:3,kangdaya;singhapala;tanjay
chincha_culture,3,antq_moche:3,Andes:3,chinchay;ica;puka_tampu
chorti_culture,3,antq_teotihuacano:3,Mesoamerica:3,chiquimula;ocotepec;opoa
cornish,3,antq_brittonic:3,Britain:3,bodmin;launceston;truro
dehwar_culture,3,antq_parthian:3,Iran:3,kharan;khuzdar;mastung
dhofari_culture,3,antq_arab:3,Arabia:3,dhufar;mirbat;raysut
dimasa_culture,3,antq_indo_aryan:3,India:3,dhansiri;dimapur;lanka
dyula,3,antq_mande:3,West Africa:3,kong;odienne;seydougou
garo_culture,3,antq_indo_aryan:3,India:3,chisobibra;dura;ruga
gayogohono_culture,3,antq_algonquian:3,North America:3,assorodus;gahato;skaniatares
guinan_culture,3,antq_han:3,China:3,lingfang;ningpu;xuanhua_nanning
gurung_culture,3,antq_indo_aryan:3,India:3,dudhakunda;pokhara;tanahun
gutnish,3,antq_germanic:3,Scandinavia:3,hoborg;slite;visby
hengzhou_culture,3,antq_han:3,China:3,hengshan;hengyang;xincheng
huarco_culture,3,antq_moche:3,Andes:3,chilca;huarco;incahuasi
huizhou_hakka_culture,3,antq_han:3,China:3,guishan;pingshan_huiyang;zuokeng
jingpo_culture,3,antq_mon:3,Southeast Asia:3,injangyang;putao;suamprabon
jola,3,antq_mande:3,West Africa:3,bintang;diaboudior;gambia
kakongo,3,antq_nubian:3,Africa:3,bula_kongo;kibango;ngimbo_amburi
kapampangan_culture,3,antq_mon:3,Southeast Asia:3,bayambang;hubek;magalo
karachay_culture,3,antq_sarmatian:3,Pontic:3,khumar;mamiya_kala;rim_gora
kumandin_culture,3,antq_xiongnu:3,Steppe:3,barnaul;butyrskoe;kalmanka
kunama_culture,3,antq_nubian:3,Africa:3,bazin;tembesha;tesenei
ladin,3,antq_latin:3,Rome:3,cavalese;cles;pieve
lamtuna_culture,3,antq_mande:3,West Africa:3,aoudaghost;tichit;tidjikja
limbu_culture,3,antq_indo_aryan:3,India:3,phakphok;rajanari;vijayapur
maba_culture,3,antq_mon:3,Southeast Asia:3,gane;maba_celebes;weda
makassarese_culture,3,antq_mon:3,Southeast Asia:3,bantayan;buki;gowa
manjak,3,antq_mande:3,West Africa:3,bissau;cacheu;casamance
maonan_culture,3,antq_han:3,China:3,anhua_huanjiang;pingzhu;sien
mboma,3,antq_nubian:3,Africa:3,maguela;mbanza_kongo;nogui
messufa_culture,3,antq_mande:3,West Africa:3,araouane;taghaza;taoudenni
mewati,3,antq_indo_aryan:3,India:3,alwar;bharatpur;narnaul
mixe_culture,3,antq_teotihuacano:3,Mesoamerica:3,acayucan;atepec;atitlan
moksha_culture,3,antq_venedi:3,Eastern Europe:3,shigony;solovtsovo;staraya_kulatka
mongondow_culture,3,antq_mon:3,Southeast Asia:3,amurang;belang;solimandungan
mori_culture,3,antq_mon:3,Southeast Asia:3,matano;mori_celebes;sambandete
nashi_culture,3,antq_han:3,China:3,dadandang;tongan_lijiang;xiaodandang
onondagega_culture,3,antq_algonquian:3,North America:3,oswego;otsiningo;tsikahiotsisto
oromo_culture,3,antq_nubian:3,Africa:3,goba;harro_walabu;mormor
palaung_culture,3,antq_han:1|antq_mon:2,China:1|Southeast Asia:2,mangshi;muse;ta_shwe_htan
palta_culture,3,antq_chibchan:3,Northern Andes:3,calvas;cangochamba;malacatos
pamona_culture,3,antq_mon:3,Southeast Asia:3,poso;tojo;una_una
qiong_culture,3,antq_han:3,China:3,lehui;qiongshan;wanan_wananjun
ryukyu_culture,3,antq_wa:3,Japan:3,nakijin;oozato;urasoe
saluan_culture,3,antq_mon:3,Southeast Asia:3,bulakan;gori_gori;lingketeng
sapmi,3,antq_germanic:2|antq_uralic:1,Finland:1|Scandinavia:2,deatnu;nadvoitsy;raisa
sedang_culture,3,antq_mon:3,Southeast Asia:3,kon_klor;kon_tum;samxay
shekhawati,3,antq_indo_aryan:3,India:3,jhunjhunu;manoharpur;sikar
shihhi_culture,3,antq_arab:3,Arabia:3,al_dhaid;julfar;khor_fakkan
shor_culture,3,antq_xiongnu:3,Steppe:3,biysk;kytmanovo;smolenskoye
surigaonon_culture,3,antq_mon:3,Southeast Asia:3,cantilan;langan;surigao
tagata_samoa_culture,3,antq_austronesian:3,Oceania:3,savaii;tutuila;upolu
talysh_culture,3,antq_parthian:3,Iran:3,astara;dulab;lankaran
tamang_culture,3,antq_indo_aryan:3,India:3,gorkha;lamjung;tansen
tayrona_culture,3,antq_chibchan:3,Northern Andes:3,chayrama;teyuna;yaharo
tiwa_culture,3,antq_indo_aryan:3,India:3,nakshaparvat;rowta;tezpur
tobelo_culture,3,antq_mon:3,Southeast Asia:3,daratan;jailolo;wasilei
tomini_culture,3,antq_mon:3,Southeast Asia:3,pendau;toli_toli;tomini
tonga_oceania_culture,3,antq_austronesian:3,Oceania:3,haapai;tongatapu;vauvau
tsonga_culture,3,antq_nubian:3,Africa:3,chibuene;inhambane;manyikeni
xianxi_culture,3,antq_han:3,China:3,chenxi;madi_yuanling;xupu
ychsma_culture,3,antq_moche:3,Andes:3,huarochiri;ishma;rimaq
benue,2,antq_mande:2,West Africa:2,jos;zuba
blang_culture,2,antq_han:2,China:2,shunning;youdian
boholano_culture,2,antq_mon:2,Southeast Asia:2,bool;talibon
buruwai_culture,2,antq_austronesian:2,Oceania:2,buruwai;kaimana
buton_culture,2,antq_mon:2,Southeast Asia:2,butung;kalisusu
butuanon_culture,2,antq_mon:2,Southeast Asia:2,butuan;cabadbaran
churajon_culture,2,antq_moche:2,Andes:2,atico;caraveli
cuyonon_culture,2,antq_mon:2,Southeast Asia:2,busuanga;taytay
dargin_culture,2,antq_sarmatian:2,Pontic:2,kubachi;terekli_mekteb
fulao_culture,2,antq_han:2,China:2,haifeng;lufeng_haifeng
galela_culture,2,antq_mon:2,Southeast Asia:2,loloda;moro
gayo_culture,2,antq_mon:2,Southeast Asia:2,gayo_lues;linge
gbari,2,antq_mande:2,West Africa:2,lapai;minna
godala_culture,2,antq_mande:2,West Africa:2,awlil;rosso
gonja,2,antq_mande:2,West Africa:2,kintampo;salaga
iztachichimecah_culture,2,antq_teotihuacano:2,Mesoamerica:2,atocpan;tollantzinco
jino_culture,2,antq_han:2,China:2,mengban_jihong;mengla
jixi_culture,2,antq_han:2,China:2,shexian;suian
kenyah_culture,2,antq_mon:2,Southeast Asia:2,belayan;kelinjau
koch_culture,2,antq_indo_aryan:2,India:2,birpara;koch_bihar
lamaholot_culture,2,antq_mon:2,Southeast Asia:2,lamakera;larantuka
maba_africa_culture,2,antq_nubian:2,Africa:2,abesehir;ouara
maguindanao_culture,2,antq_mon:2,Southeast Asia:2,buayan;kuta_watu
mamprusi,2,antq_mande:2,West Africa:2,djougou;tirekka
mandarese_culture,2,antq_mon:2,Southeast Asia:2,balanipa;mamudju
masalit_culture,2,antq_nubian:2,Africa:2,hadjer_haddid;mornei
mehri_culture,2,antq_arab:2,Arabia:2,khalfut;qishn
meitei_culture,2,antq_indo_aryan:2,India:2,imphal;thoubal
mingrelian_culture,2,antq_armenian:2,Caucasus:2,anaklia;tsalenjikha
monguor_culture,2,antq_han:2,China:2,datong_xining;haomen
naga_culture,2,antq_mon:2,Southeast Asia:2,htamanthi;tarung
nagpuri_culture,2,antq_indo_aryan:2,India:2,khukhragarh;ranchi
nuer_culture,2,antq_nubian:2,Africa:2,ed_daein;shakka
nuristani_culture,2,antq_saka:2,India:1|Iran:1,alishang;parun
pangasinan_culture,2,antq_mon:2,Southeast Asia:2,binalatongan;bolinao
quzhou_culture,2,antq_han:2,China:2,longyou;xian_quzhou
sarta_culture,2,antq_han:2,China:2,hezhou;sangqu
sasak_culture,2,antq_mon:2,Southeast Asia:2,lombok;sasak
sikkim_culture,2,antq_indo_aryan:2,India:2,gangtok;yuksom
soqotri_culture,2,antq_arab:2,Arabia:2,hadibu;qulensya
soyot_culture,2,antq_xiongnu:2,Steppe:2,bii;choigan
sumbawa_culture,2,antq_mon:2,Southeast Asia:2,sumbawa;taliwang
svan_culture,2,antq_armenian:2,Caucasus:2,lentekhi;ushguli
tapachultec_culture,2,antq_teotihuacano:2,Mesoamerica:2,huehuetan;tonala_chiapas
tetum_culture,2,antq_mon:2,Southeast Asia:2,balibo;laran
tidung_culture,2,antq_mon:2,Southeast Asia:2,sesayap;tarakan
tolimec_culture,2,antq_teotihuacano:2,Mesoamerica:2,ixtapan;zacatollan
tunjur_culture,2,antq_nubian:2,Africa:2,am_dam;guereda
tzeltal_culture,2,antq_teotihuacano:2,Mesoamerica:2,quechula;zinacantan
tzotzil_culture,2,antq_teotihuacano:2,Mesoamerica:2,napinaica;tenamitl
ulch_culture,2,antq_xiongnu:2,Steppe:2,deren;pilda
wuchuan_culture,2,antq_han:2,China:2,wuchuan_huazhou;zhanchuan
xinghua_culture,2,antq_han:2,China:2,putian;xianyou
yap_culture,2,antq_austronesian:2,Oceania:2,ulithi_atoll;yap
zo_culture,2,antq_mon:2,Southeast Asia:2,htilin;laungshe
abazin_culture,1,antq_sarmatian:1,Pontic:1,costa
amuzgo_culture,1,antq_teotihuacano:1,Mesoamerica:1,ometepec
bacan_culture,1,antq_mon:1,Southeast Asia:1,amassing
bahau_culture,1,antq_mon:1,Southeast Asia:1,hulu_mahakam
banggai_culture,1,antq_mon:1,Southeast Asia:1,banggai
bima_culture,1,antq_mon:1,Southeast Asia:1,bima
bungku_culture,1,antq_mon:1,Southeast Asia:1,bungku
cabinda,1,antq_nubian:1,Africa:1,bungu_kongo
canta_culture,1,antq_moche:1,Andes:1,cantamarca
chiapanec_culture,1,antq_teotihuacano:1,Mesoamerica:1,jaltenango
chiribaya_culture,1,antq_moche:1,Andes:1,arequipa
collique_culture,1,antq_moche:1,Andes:1,collique
daga_papua_culture,1,antq_austronesian:1,Oceania:1,daga_papua
deori_culture,1,antq_indo_aryan:1,India:1,tengapani
derung_culture,1,antq_han:1,China:1,gongshan
dine_culture,1,antq_algonquian:1,North America:1,moanunts
dompu_culture,1,antq_mon:1,Southeast Asia:1,dompu
fataluku_culture,1,antq_mon:1,Southeast Asia:1,tutuala
fon,1,antq_mande:1,West Africa:1,ketu
german_silesian,1,antq_germanic:1,Germania:1,rothenburg_oberlausitz
gothic_culture,1,antq_sarmatian:1,Pontic:1,theodoro
huayla_culture,1,antq_moche:1,Andes:1,waricoto
huazhou_culture,1,antq_han:1,China:1,shilong
hui_muslim_culture,1,antq_han:1,China:1,kaicheng_guyuan
ibaloi_culture,1,antq_mon:1,Southeast Asia:1,agno
igneri,1,antq_carib:1,Caribbean-Amazon:1,carucairi
ijaw,1,antq_mande:1,West Africa:1,ughoton
ikoot_culture,1,antq_teotihuacano:1,Mesoamerica:1,zanatepec
ilocano_culture,1,antq_mon:1,Southeast Asia:1,agoo
inka_culture,1,antq_nazca:1,Andes:1,qusqu
inuit_culture,1,antq_inuit_dorset:1,North America:1,iqaluit
juang_culture,1,antq_indo_aryan:1,India:1,bhuban
kadu_culture,1,antq_nubian:1,Africa:1,kadugli
kahokiaki_culture,1,antq_algonquian:1,North America:1,peoria
kalanga_culture,1,antq_nubian:1,Africa:1,impakwe
kaqchikel_culture,1,antq_teotihuacano:1,Mesoamerica:1,kakol_kiej
karbi_culture,1,antq_indo_aryan:1,India:1,diphu
kaskankaham_culture,1,antq_algonquian:1,North America:1,kaskankaham
kharia_culture,1,antq_indo_aryan:1,India:1,sitapur
khond_culture,1,antq_indo_aryan:1,India:1,jajjaldeypur
kiche_culture,1,antq_teotihuacano:1,Mesoamerica:1,pismachi
kissi,1,antq_mande:1,West Africa:1,kerouane
korku_culture,1,antq_indo_aryan:1,India:1,gawilgarh
kren_culture,1,antq_austronesian:1,Oceania:1,mariana
kurukh_culture,1,antq_indo_aryan:1,India:1,jashpur_nagar
lak_culture,1,antq_sarmatian:1,Pontic:1,kumukh
luhya_culture,1,antq_nubian:1,Africa:1,mumias
maltese,1,antq_latin:1,Rome:1,malta
malto_culture,1,antq_indo_aryan:1,India:1,rajmahal
mambai_culture,1,antq_mon:1,Southeast Asia:1,likusaen
manaos_culture,1,antq_tupi:1,Caribbean-Amazon:1,manaos
manobo_culture,1,antq_mon:1,Southeast Asia:1,talacogon
minahasan_culture,1,antq_mon:1,Southeast Asia:1,manado
mishmi_culture,1,antq_indo_aryan:1,India:1,dibang
moronene_culture,1,antq_mon:1,Southeast Asia:1,taubonto
mulam_culture,1,antq_han:1,China:1,luocheng
muna_culture,1,antq_mon:1,Southeast Asia:1,kotano_muna
mushikongo,1,antq_nubian:1,Africa:1,wandu
muzo_culture,1,antq_chibchan:1,Northern Andes:1,paribari
naayeri_culture,1,antq_teotihuacano:1,Mesoamerica:1,aztatlan
nsudi,1,antq_nubian:1,Africa:1,masinga
nu_culture,1,antq_han:1,China:1,zhiziluo
ofo_culture,1,antq_algonquian:1,North America:1,olentangy
ormur_culture,1,antq_saka:1,Iran:1,logar
pochutec_culture,1,antq_teotihuacano:1,Mesoamerica:1,cuauhtolco
pume_culture,1,antq_arawak:1,Caribbean-Amazon:1,guamontey
pumi_culture,1,antq_sogdian:1,Central Asia:1,waerhdje
qanjobal_culture,1,antq_teotihuacano:1,Mesoamerica:1,jolom_konob
rabha_culture,1,antq_indo_aryan:1,India:1,goalpara
salar_culture,1,antq_han:1,China:1,jishi
sambal_culture,1,antq_mon:1,Southeast Asia:1,botolan
senufo,1,antq_mande:1,West Africa:1,farakala
solongo,1,antq_nubian:1,Africa:1,bembe_kongo
tagakaulo_culture,1,antq_mon:1,Southeast Asia:1,makar
tboli_culture,1,antq_mon:1,Southeast Asia:1,tboli
ternate_culture,1,antq_mon:1,Southeast Asia:1,ternate
tidore_culture,1,antq_mon:1,Southeast Asia:1,tidore
totorame_culture,1,antq_teotihuacano:1,Mesoamerica:1,xalisco
tzutujil_culture,1,antq_teotihuacano:1,Mesoamerica:1,atitlan_guatemala
waxiang_culture,1,antq_han:1,China:1,yuanling
yugur_culture,1,antq_han:1,China:1,gaotai
zapotec_culture,1,antq_teotihuacano:1,Mesoamerica:1,tehuantepec
