tag,name,region,capital,controlled_locations,seeded_locations,placements,productive_placements,civic_service_placements,max_location_placements,source,confidence,note
NEM,Upper Neman Striated Pottery Group,Eastern Europe,grodno,39,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NGR,Negros Metal-Age Communities,Southeast Asia,tanjay,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NHC,Northern Highland Corridor Communities,Mesoamerica,ixmiquilpan,14,4,8,5,3,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NHM,North Halmahera Metal-Age Communities,Southeast Asia,jailolo,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NHR,Naharvali,Germania,glogow,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NMS,Northern Satrapy of Mathura,India,mathura,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NNR,Hilleviones,Germania,bodo,54,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NOK,Late Nok Horizon,West Africa,birnin_gwari,21,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NOV,Novantae,Britain,stranraer,6,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NSK,Nsukka-Lejja Ironworkers,West Africa,awka_etiti,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NVM,Narmada-Vindhya Megalithic Networks,India,mandla,18,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NYS,Nayarit Shaft-Tomb Communities,Mesoamerica,ahuacatlan,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
OHW,Northern Honshu Communities,Japan,akita,61,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
OLC,Orinoco-Llanos Ceramic Communities,Caribbean-Amazon,guamontey,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
OMN,Omanitae,Arabia,suhar,21,6,13,6,7,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ONH,Oaxaca Northwest Highland Communities,Mesoamerica,huajuapan,6,2,4,3,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
OPO,Opone,Africa,ras_hafun,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ORD,Ordovices,Britain,carnarvon,9,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
OSR,Osroene,Mesopotamia,urfa,1,1,4,3,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
OUE,Lower Oueme Forest Communities,West Africa,ketu,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PAR,Parthian Empire,Iran,baghdad,519,20,44,26,18,5,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PBI,Parisii,Britain,hull,4,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PCM,Panchala Mitra Kingdom,India,bareilly,22,5,11,6,5,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PCT,Pulangi-Cotabato Basin Communities,Southeast Asia,kuta_watu,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PDL,Podolian Lipița Group,Eastern Europe,kamianets_podilskyi,25,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PDR,Pundravardhana,India,bogra,20,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PHC,Patzcuaro Highland Communities,Mesoamerica,patzcuaro,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PLH,Pskov-Luga Striated Pottery Group,Eastern Europe,pskov,51,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PLW,Palawan Cave-Coast Communities,Southeast Asia,taytay,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PND,Pandya Kingdom,India,madurai,13,4,8,5,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PNY,Panay Metal-Age Communities,Southeast Asia,irong_irong,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PPA,Adirondack-St Lawrence Point Peninsula Communities,North America,oswegatchie,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PRM,Middle Kama Glyadenovo Culture,Finland,perm,36,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PRS,Persis,Iran,istakhr,78,9,10,10,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PRZ,Greater-Poland Przeworsk Group,Eastern Europe,gniezno,35,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PTF,Puebla-Tlaxcala Formative Centers,Mesoamerica,cholollan,16,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PUK,Pukara,Andes,ayaviri,10,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PUL,Puli,Tarim,sarikol,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PWB,Ping-Wang Basin Networks,Southeast Asia,chiang_mai,12,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
PYU,Pyu Cities,Southeast Asia,magway,71,9,10,10,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
QAT,Qataban,Arabia,bayhan,9,3,8,4,4,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
QIM,Qiemo,Tarim,charchan,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
QMC,Qamdo River-Corridor Network,Central Asia,chamdo,28,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
QTR,Cataraei,Arabia,al_bidda,15,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
QUA,Quadi,Germania,holic,61,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RAR,Rarh,India,bardhaman,14,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RBD,Right-Bank Zarubintsy Group,Eastern Europe,kyiv,39,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RDN,Reudigni,Germania,haderslev,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
REC,Recuay,Andes,waricoto,1,1,3,2,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
REG,Regni,Britain,chichester,7,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RHB,Rhobogdii,Ireland,derry,3,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RKU,Rewa-Kantha Upland Communities,India,champaner,3,2,4,3,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RLG,Red-Ruthenian Lipița Group,Eastern Europe,lviv,36,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ROM,Roman Empire,Rome,rome,2030,43,540,254,286,23,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ROX,Roxolani,Pontic,tana,222,15,16,16,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RSW,Rajang-Sarawak Coastal Networks,Southeast Asia,santubong,10,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RUG,Rugii,Germania,bobolice,9,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RUV,Ruvuma-Lurio Frontier,Africa,lindi,12,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RYS,Ryukyu Shell-Midden Communities,Japan,nakijin,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
RZM,Oka-Moksha Gorodets Culture,Finland,ardatov,45,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SAB,Saba,Arabia,marib,25,5,14,6,8,6,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SAT,Satavahana,India,daulatabad,255,16,33,17,16,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SAX,Saxons,Germania,soltau,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SBN,Sibini,Germania,slupsk,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SDR,Ancestral Sonoran Desert Communities,North America,shiewhibak,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SDY,Sadiya Foothills,India,sadiya,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SEL,Selgovae,Britain,selkirk,4,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SEM,Semnones,Germania,teltow,30,5,10,6,4,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SGK,Sangkulirang Karst Communities,Southeast Asia,karangan,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SGM,Sugambri,Germania,essen,25,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SHC,Shache,Tarim,yarkand,4,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SHK,Shikoku Wa Communities,Japan,awa_shikoku,29,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SHM,South Halmahera Metal-Age Communities,Southeast Asia,maba_celebes,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SHY,Sa Huynh Coastal Networks,Southeast Asia,amaravati,15,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SIB,Tes-Tashtyk Transition,Steppe,abakasnk,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SIL,Silures,Britain,monmouth,9,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SIR,Siraces,Pontic,armavir,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SIT,Sitones,Germania,falun,12,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SJB,Southern Jalisco Basin Communities,Mesoamerica,sayula,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SKH,Sakhalin Paleometal Communities,Steppe,idy_sakhalin,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SKM,Sikkim Foothills,India,yuksom,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SKN,Chaedini,Germania,lund,13,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SKT,Sakastan,Iran,zaranj,54,7,14,8,6,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SLC,Basin South-Lake Communities,Mesoamerica,chalco,4,2,4,3,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SLU,Sulu Island Communities,Southeast Asia,maimbung,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SMD,Smolensk Dnieper-Dvina Group,Eastern Europe,smolensk,46,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SME,Smertae,Britain,tongue,1,1,4,3,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SMP,Sumpa,Central Asia,chabcha,33,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SMT,Samatata,India,sonargaon,18,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SMY,Dzhudzhydyag Culture,Finland,ukhta,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SNE,Sierra Nevada Early Communities,Northern Andes,chayrama,3,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SNG,Senegambian Communities,West Africa,diourbel,59,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SNR,Dauciones,Germania,oslo,63,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SOG,Sogdian Cities,Central Asia,samarkand,33,6,9,8,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SRD,Suardones,Germania,odense,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SRG,Omsk-Ishim Sargat Culture,Steppe,omsk,42,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SRS,Saurashtra Coastal Networks,India,junagarh,16,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SRY,Saryarka Late Iron-Age Horizon,Central Asia,ulytau,31,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SSH,Southern Plateau Corridor Networks,Southeast Asia,mongnai,12,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SUE,Suebi,Germania,augsburg,68,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SUG,Kara-Abyz Culture,Finland,beloretsk,26,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SUI,Suiones,Scandinavia,uppsala,48,7,9,8,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
SVA,Soanes,Caucasus,ushguli,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TAE,Taexali,Britain,aberdeen,5,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TEO,Teotihuacan,Mesoamerica,tehotihuacan,10,3,6,4,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TGD,Tsna-Upper Don Gorodets Horizon,Finland,tambov,41,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
THM,Thamud,Arabia,khaybar,45,7,15,8,7,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
THR,Odrysian Thrace,Balkans,boruy,45,8,17,9,8,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TIW,Early Tiwanaku,Andes,tiwanaku,7,3,6,4,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TJC,Central Jalisco Teuchitlan Networks,Mesoamerica,etzatlan,10,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TKW,Tokai Wa Communities,Japan,aichi,57,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TND,Tondai-Kanchi Polity,India,kanchipuram,10,3,6,4,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TON,Tonga-Samoa-Fiji,Oceania,tongatapu,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TPC,Tamtoc-Panuco Communities,Mesoamerica,tamtoc,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TRI,Trinovantes,Britain,colchester,6,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TSG,Western Tsang Valley Network,Central Asia,shigatse,18,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TUR,Turfan,Tarim,turpan,5,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
TVC,Toluca Valley Formative Communities,Mesoamerica,ixtlahuaca,9,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UBR,Upper Brahmaputra Foothills,India,dibrugarh,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UGR,Lower Irtysh Kulay Horizon,Finland,qashliq,24,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UIR,Upper Irrawaddy Corridor Networks,Southeast Asia,myitkyina,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UJJ,Ujjayini Urban Polity,India,ujjain,9,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ULA,Voluntii,Ireland,armagh,9,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UMK,Upper Mekong Upland Networks,Southeast Asia,muang_sua,16,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
URW,Urewe Horizon,Africa,rubaga,8,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
USD,Usdiae,Ireland,limerick,12,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
USH,Upper Salween-Shweli Networks,Southeast Asia,hsenwi,17,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UTC,Upper Utcubamba Communities,Andes,karajia,7,3,5,4,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UTV,Central Tsangpo Valley Network,Central Asia,lhasa,22,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UVD,Upper Volga Late Dyakovo Horizon,Finland,tver,47,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
UVF,Nizhny-Novgorod Gorodets Group,Finland,gorodets,31,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VAC,Vacomagi,Britain,elgin,3,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VAN,Vandili,Germania,torzym,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VCN,Venicones,Britain,dundee,7,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VCS,Vicus Communities,Andes,apurlec,2,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VDJ,Videha Janapada,India,darbhanga,18,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VDS,Vedisa Urban Polity,India,bhilsa,9,3,6,4,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VEL,Velabri,Ireland,killarney,5,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VEN,Venedi,Eastern Europe,rawa,56,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VIC,Volta-Cong Interfluve,West Africa,kong,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VIR,Gallinazo Communities,Andes,chan_chan,6,2,6,4,2,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
