design_tag,engine_tag,opening_reform,profile,visible_reforms
URW,URW,antq_early_ironworking_community_network,tribal,antq_early_ironworking_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
USD,USD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
USH,USH,antq_mainland_river_corridor_network,tribal,antq_elder_moot_kingship|antq_mainland_river_corridor_network|antq_warband_retinue_kingship
UTC,UTC,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
UTV,UTV,antq_central_plateau_agropastoral_network,tribal,antq_central_plateau_agropastoral_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
UVD,UVD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
UVF,UVF,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VAC,VAC,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VAN,VAN,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VCN,VCN,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VCS,VCS,antq_andean_irrigated_valley_network,tribal,antq_andean_irrigated_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
VDJ,VDJ,antq_indian_ganasangha,gana,antq_gana_muster_confederacy|antq_indian_ganasangha|antq_lineage_rotation
VDS,VDS,antq_central_indian_urban_kingship,royal,antq_central_indian_urban_kingship|antq_frontier_muster_monarchy|antq_petition_court
VEL,XFG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VEN,XBT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VIC,VIC,antq_west_african_ironworking_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_ironworking_network
VIR,VIR,antq_andean_irrigated_valley_network,tribal,antq_andean_irrigated_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
VLF,VLF,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VLT,XEK,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
VNG,VNG,antq_bengal_riverine_community_network,tribal,antq_bengal_riverine_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
VNI,VNI,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VOT,VOT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VRN,VRN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
VYG,VYG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
VYP,VYP,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
WAA,WAA,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
WAF,WAF,antq_west_african_savanna_compound_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_savanna_compound_network
WBB,WBB,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
WBC,WBC,antq_borneo_coastal_exchange_network,tribal,antq_borneo_coastal_exchange_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
WCR,WCR,antq_yap_ulithi_island_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_yap_ulithi_island_network
WDP,WDP,antq_early_ironworking_community_network,tribal,antq_early_ironworking_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
WGD,WGD,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
WHT,WHT,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
WHU,WHU,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
WIC,WIC,antq_windward_island_ceramic_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_windward_island_ceramic_network
WJO,WJO,antq_northern_okjeo_corridor,tribal,antq_elder_moot_kingship|antq_northern_okjeo_corridor|antq_warband_retinue_kingship
WNK,WNK,antq_wankarani_mound_village_network,tribal,antq_elder_moot_kingship|antq_wankarani_mound_village_network|antq_warband_retinue_kingship
WSC,WSC,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
WSN,WSN,antq_wusun_kunmi_confederacy,steppe,antq_steppe_gift_court|antq_steppe_wing_confederacy|antq_wusun_kunmi_confederacy
XIA,XIA,antq_xianbei_eastern_confederacy,xianbei,antq_murong_frontier_court|antq_rouran_khaganate|antq_tanshihuai_three_divisions|antq_tuoba_dai_confederacy|antq_xianbei_eastern_confederacy|antq_xianbei_successor_federations
XIO,XIO,antq_steppe_confederation,xiongnu,antq_han_zhao_chanyu_court|antq_southern_xiongnu_commandery_settlement|antq_steppe_confederation|antq_xiongnu_dual_wing_command|antq_xiongnu_five_divisions_order|antq_xiongnu_gift_circuit|antq_xiongnu_northern_western_confederacy|antq_xiongnu_southern_frontier_court
YAR,XGB,antq_central_plateau_agropastoral_network,tribal,antq_central_plateau_agropastoral_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
YDH,YDH,antq_indian_ganasangha,gana,antq_gana_muster_confederacy|antq_indian_ganasangha|antq_lineage_rotation
YIL,YIL,antq_ussuri_poltsian_network,tribal,antq_elder_moot_kingship|antq_ussuri_poltsian_network|antq_warband_retinue_kingship
YNC,YNC,antq_yancai_aorsi_confederacy,steppe,antq_steppe_gift_court|antq_steppe_wing_confederacy|antq_yancai_aorsi_confederacy
YQI,YQI,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
YUE,YUE,antq_yuezhi_five_yabghus,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_vologasid_dynastic_settlement|antq_yuezhi_five_yabghus
YUN,YUN,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
ZAP,XCU,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
ZBG,ZBG,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
ZHF,ZHF,antq_mobile_hunter_herder_network,tribal,antq_elder_moot_kingship|antq_mobile_hunter_herder_network|antq_warband_retinue_kingship
ZHZ,ZHZ,antq_zhangzhung_plateau_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_zhangzhung_plateau_kingship
ZMP,ZMP,antq_west_african_savanna_compound_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_savanna_compound_network
ZRB,ZRB,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
ZUM,ZUM,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
